Date,Commit,Findings
2017-11-05 06:45:01,1b675d6c692a28fb12d597ff475d56f9a865e8b7,256
2017-12-13 04:19:41,963c704b3e8b03e48a3b10998af5c19a4c03cabc,280
2018-01-29 01:31:00,4e175ab8634597f595215f83b3c779cc4e0e7eaa,285
2018-03-30 04:34:13,d06b690a330d05dd3997b154bbed7527333db1bb,286
2018-05-12 17:56:17,25a2d3079ffb9fd0df5e87639941e83d63cd480c,290
2018-06-11 13:30:15,29b8cfb003393c7182b669d7d507105cb71aa637,290
2018-07-22 00:37:37,38b567053977f80a36209cd7357521b6b4049d84,288
2018-09-06 08:14:34,cb7dca7c3c963ff14c4f58507d3672536c441921,282
2018-10-05 09:57:27,4c05fed01c68a305abf62135695bc61606746683,287
2018-11-01 13:23:47,8a5cd2c7b0aa23e17914cde9370360a2c2e042e5,294
2018-12-14 13:07:19,75939e55bee57e2689a72e6f507dd3a6818dcb48,294
2019-01-30 17:38:45,2c33d0dfdad51f85de5551a48a44c4083ff01b4e,303
2019-03-19 08:14:33,17b31fdfaf7cca752de9d3590f5caeb08b3f5c18,303
2019-05-01 21:28:44,1694f0f3b639df61adbe33124b925c0cc1baa436,307
2019-05-20 15:45:27,edfd3134cda92384aa35f08209bc22d0fae80143,323
2019-06-24 09:59:33,d900e8ee1c2046a8bef9ede1d1662cf8057910e4,331
2019-07-23 15:17:07,1de750537097ffca1ca3c931a1f36370e51432da,332
2019-08-23 14:21:57,dc7af64a3655096b9628175448f8e1c7444bae5a,327
2019-09-20 19:38:00,6501752ca8fd902a2302d04f582acc96ac38fc2e,330
2019-10-24 21:27:18,396af7def65e75b6ef8a4e82f8aa8a357a9230f4,331
2019-12-11 15:09:22,175ba9a7bde4e00202c8cb117b84693fd8a7bfd2,331
2020-01-18 20:25:01,1edb44669f9acddebd92df794ca9731fd92f4e06,324
2020-02-07 04:10:40,1a1611a33cfb5ea50d16d20affa5c6fa03e148d7,329
2020-03-31 17:43:03,8235553ec3e5b6ec64c0e0146849498aed49bbaa,324
2020-05-12 13:36:09,6303c86ccdc32f78e6ef40cf6d1ba6fb94246267,337
2020-06-04 21:43:38,7764b5f2bcb6f4188b3e524209672e152226604c,339
2020-07-03 06:27:12,f9e874d0015431a7602acc0dd6426a7eef4841e0,340
2020-07-24 20:58:41,592040713bf2100e96f76db143f58477f5c48513,340
2020-08-26 16:43:15,be40e3f885b6a93f23edad20c5debe9379134b58,344
2020-09-16 15:01:45,26a407f701782f45d3165f92861bd6555d042596,326
2020-10-09 02:37:57,2fc25ea5c13667c9f09912815a2bdf9c326cf3c8,327
2020-11-29 22:06:11,a8464940ca4f591f4aca2416e2e6173d68251131,324
2020-12-24 17:23:46,6c65d01705dffb2b285531813dc40cbc71799d8d,324
2021-01-26 22:08:06,f7d26c28190b430407e35c2169af88935353403c,327
2021-02-17 19:12:36,dc35f0155a80e8ae1e3f146da9a717888a55f1c0,330
2021-03-14 06:13:15,b592ec8029a3c11f47ff69a42cb5470f9e60cc43,330
2021-04-15 00:07:47,10cb25f6dd600f3aa636b3b8db7b7fd102c2eccf,331
2021-05-08 17:22:35,f3d0a30de0f1b2c7f016518867cb19ffc9d4b182,332
2021-05-26 11:57:20,366872c895ba4108d224c581e2b1941773205e4a,336
2021-06-18 19:04:36,3ac75963a41fc881a00d7656d97615878e5575b4,333
2021-07-13 08:13:33,89c80ba606f4346f8df2a31cfcc0e967045a68ed,336
2021-08-07 00:23:04,8f7d00ed447174d9398af3365709222b529c1cad,337
2021-09-11 16:46:28,4486c2d99203e93bc60b75a5e678da2ca8f1bb0a,334
2021-10-01 17:25:33,ea45b0e257704afefb43d0415728a87853c6d2d8,333
2021-10-27 21:06:10,5914281547fc0fbd685e18e7147d5a33f604abe7,333
2021-11-15 03:49:21,27937472c698d4824236ae3198e92cfa758a48bc,334
2021-12-14 16:16:46,8111d51af2c743c1ff90dc014ede49564a8f22d9,334
2022-01-15 02:07:07,e4d0e60d2b8383fe995c518b3eef0007b3e48ab4,280
2022-02-10 18:46:05,2bb9f38d1e982f9797b2a231828b4b39fcc954d3,280
2022-03-29 00:12:26,f306e941ffb0bc49604f5507aa8ea614d933cfd0,282
2022-05-19 01:20:19,64e3c5c519bcf3684c19037e81b62f2245420a76,288
2022-06-10 18:40:25,d1a5309810cc55da8443568d215f1992c7a261cd,289
2022-06-29 20:28:29,0fa10479209618f09febb6dc49cc79266d8aea88,289
2022-08-19 12:48:46,706c922ff278a6197f47ba678e8cc6128028d5ab,289
2022-10-12 08:06:59,2179be29c2d921422bf48f7f2375ea12fe07333e,295
2022-11-23 08:42:51,145b5a76b00a24aa458f2374990eb294496b2665,296
2022-12-25 15:17:15,c29b0e0214b36c4f9ebd0a4b192354f6d812fda0,300
2023-01-27 17:01:36,a38eb6d9bb5990b70e042c19f2d6daa51d784d6c,300
2023-02-20 20:51:23,1779c5aa5fd9c2992e16f7d3031c3fd0f0e22bfc,303
2023-03-28 09:31:54,94d4f702017be274acb130cbe9cf163910137fbc,304
